parada/est.metro,Subidas día laboral por parada,Bajadas día Laboral por parada,comuna,Referencia,diseno_777,x,y
L-24-13-OP-5,,,SAN RAMÓN,ALMIRANTE LATORRE / RIQUELME,352,347391,6286568
L-24-1-SN-15,122.78,25.86,SAN RAMÓN,VICUñA MACKENNA / ALMIRANTE LATORRE,352,347433,6286935
L-24-1-SN-20,325.76,17.23,SAN RAMÓN,ALPATACAL / ALMIRANTE LATORRE,352,347405,6286736
E-24-205-NS-55,1076.05,1075.96,SAN RAMÓN,PARADA 8 / (M) SANTA ROSA,353,348272,6287449
T-24-12-OP-5,28.95,17.30,SAN RAMÓN,INDEPENDENCIA / VESPUCIO,353,347907,6287461
T-24-12-OP-10,388.65,493.69,SAN RAMÓN,(M) SAN RAMÓN,353,347468,6287530
T-24-12-PO-15,39.54,51.41,SAN RAMÓN,PEDRO AGUIRRE C. / VESPUCIO,353,347992,6287392
T-24-205-NS-53,11.48,551.72,SAN RAMÓN,PARADA 10 / (M) SANTA ROSA,353,348258,6287502
L-24-25-NS-20,14.20,25.24,SAN RAMÓN,ALPATACAL / PEDRO AGUIRRE CERDA,353,348046,6286679
L-24-25-NS-30,9.42,16.39,SAN RAMÓN,VICUñA MACKENNA / PEDRO AGUIRRE CERDA,353,348028,6286878
L-24-25-SN-35,39.53,47.80,SAN RAMÓN,FRANCISCANOS / PEDRO AGUIRRE CERDA,353,348042,6287086
L-24-25-NS-41,0.24,12.21,SAN RAMÓN,OSSA / PEDRO AGUIRRE CERDA,353,348029,6287275
L-24-13-OP-10,,,SAN RAMÓN,INDEPENDENCIA / RIQUELME,353,347762,6286515
L-24-1-SN-5,95.17,1402.90,SAN RAMÓN,AV. OSSA / ALMIRANTE LATORRE,353,347494,6287312
L-24-1-SN-10,38.36,9.84,SAN RAMÓN,GOYCOLEA / ALMIRANTE LATORRE,353,347464,6287125
L-24-2-PO-10,31.29,130.07,SAN RAMÓN,CARLOS DÃVILA / BOLIVIA,353,347453,6287721
L-24-2-OP-15,37.77,146.15,SAN RAMÓN,AYACARÃ / BOLIVIA,353,347458,6287746
San Ramón,,,SAN RAMÓN,Av. AmÃ©rico Vespucio - Almirante Latorre,353,347503,6287493
Santa Rosa,21779.05,20453.07,SAN RAMÓN,Av. AmÃ©rico Vespucio - Santa Rosa,353,348280,6287371
San Ramón,,,SAN RAMÓN,Av. AmÃ©rico Vespucio - Almirante Latorre,353,347503,6287493
Santa Rosa,21779.05,20453.07,SAN RAMÓN,Av. AmÃ©rico Vespucio - Santa Rosa,353,348280,6287371
T-27-224-NS-100,62.51,211.89,EL BOSQUE,YÃVAR / SAN FRANCISCO,354,346517,6286518
T-27-224-NS-105,11.86,113.46,EL BOSQUE,SGTO. CANDELARIA / SAN FRANCISCO,354,346447,6286199
T-24-224-SN-5,57.10,10.32,SAN RAMÓN,GABRIELA MISTRAL / SAN FRANCISCO,354,346487,6286262
